,tag_name,html,file_ref
0,pl-question-panel,"<pl-question-panel>
<p> Show that the acceleration of any object down a frictionless incline that makes an angle \( \theta \) with the horizontal is \( a = g \sin \theta \). (Note that this acceleration is independent of mass.) </p>
</pl-question-panel>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AccelerationDownFrictionlessIncline\question.html
1,pl-solution-panel,"<pl-solution-panel>
<pl-hint data-type=""text"" level=""1"">
        To show that the acceleration of an object down an incline is \( a = g(\sin \theta - \mu_k \cos \theta) \), we start by analyzing the forces acting on the object.
    </pl-hint>
<pl-hint data-type=""text"" level=""2"">
        The forces acting on the object are:
        <ul>
<li>The gravitational force \( \mathbf{F}_g = mg \)</li>
<li>The normal force \( \mathbf{N} \)</li>
<li>The kinetic friction force \( \mathbf{f}_k = \mu_k \mathbf{N} \)</li>
</ul>
</pl-hint>
<pl-hint data-type=""text"" level=""3"">
        We decompose the gravitational force into components parallel and perpendicular to the incline:
        <ul>
<li>Parallel component: \( F_{\parallel} = mg \sin \theta \)</li>
<li>Perpendicular component: \( F_{\perp} = mg \cos \theta \)</li>
</ul>
</pl-hint>
<pl-hint data-type=""text"" level=""4"">
        The normal force \( \mathbf{N} \) is equal in magnitude and opposite in direction to the perpendicular component of the gravitational force:
        \[
        N = mg \cos \theta
        \]
    </pl-hint>
<pl-hint data-type=""text"" level=""5"">
        The kinetic friction force \( \mathbf{f}_k \) is given by:
        \[
        f_k = \mu_k N = \mu_k (mg \cos \theta)
        \]
    </pl-hint>
<pl-hint data-type=""text"" level=""6"">
        The net force \( \mathbf{F}_{\text{net}} \) acting on the object along the incline is the difference between the parallel component of the gravitational force and the kinetic friction force:
        \[
        F_{\text{net}} = F_{\parallel} - f_k = mg \sin \theta - \mu_k (mg \cos \theta)
        \]
    </pl-hint>
<pl-hint data-type=""text"" level=""7"">
        Using Newton's second law \( F = ma \), we can express the net force as:
        \[
        ma = mg \sin \theta - \mu_k (mg \cos \theta)
        \]
    </pl-hint>
<pl-hint data-type=""text"" level=""8"">
        Dividing both sides of the equation by \( m \) to solve for the acceleration \( a \):
        \[
        a = g (\sin \theta - \mu_k \cos \theta)
        \]
    </pl-hint>
<pl-hint data-type=""text"" level=""9"">
        This shows that the acceleration \( a \) is independent of the mass \( m \) of the object.
    </pl-hint>
<pl-hint data-type=""text"" level=""10"">
        When the friction coefficient \( \mu_k \) is zero, the expression reduces to:
        \[
        a = g \sin \theta
        \]
        which is the acceleration of an object down a frictionless incline.
    </pl-hint>
</pl-solution-panel>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AccelerationDownInclineWithFriction\solutions.html
2,pl-hint,"<pl-hint data-type=""text"" level=""1"">
        To show that the acceleration of an object down an incline is \( a = g(\sin \theta - \mu_k \cos \theta) \), we start by analyzing the forces acting on the object.
    </pl-hint>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AccelerationDownInclineWithFriction\solutions.html
3,pl-number-input,"<pl-number-input answers-name=""gMoon"" comparison=""sigfig"" digits=""3"" label=""g (Moon) (in {{params.unitsAccel}})""></pl-number-input>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AccelerationDueToGravityOnMoonAndMars\question.html
4,pl-multiple-choice,"<pl-multiple-choice answers-name=""actionAtDistance"" inline=""true"" weight=""1"">
<pl-answer correct=""true"">The ultimate determinant of the truth in science is empirical evidence. Action at a distance was ultimately accepted because it was supported by experimental observations and mathematical consistency.</pl-answer>
<pl-answer correct=""false"">The ultimate determinant of the truth in science is logical consistency. Action at a distance was ultimately accepted because it was logically consistent with existing theories.</pl-answer>
<pl-answer correct=""false"">The ultimate determinant of the truth in science is philosophical reasoning. Action at a distance was ultimately accepted because it aligned with philosophical principles.</pl-answer>
<pl-answer correct=""false"">The ultimate determinant of the truth in science is consensus among scientists. Action at a distance was ultimately accepted because most scientists agreed on it.</pl-answer>
</pl-multiple-choice>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AcceptanceOfActionAtADistanceInScience\question.html
5,pl-answer,"<pl-answer correct=""true"">The ultimate determinant of the truth in science is empirical evidence. Action at a distance was ultimately accepted because it was supported by experimental observations and mathematical consistency.</pl-answer>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AcceptanceOfActionAtADistanceInScience\question.html
6,pl-text-input,"<pl-text-input answers-name=""advantage"" label=""Advantage of using Doppler radar""></pl-text-input>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AdvantageOfDopplerRadarOverConventionalRadar\question.html
7,pl-figure,"<pl-figure file-name=""wave_plot.png""></pl-figure>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AnalysisOfStandingWaves\question.html
8,pl-input-panel,"<pl-input-panel>
<pl-input-field label=""Mass of the Moon (kg)"" placeholder=""Enter mass of the Moon"" variable-name=""params.moon_mass""></pl-input-field>
<pl-input-field label=""Orbital radius (m)"" placeholder=""Enter orbital radius"" variable-name=""params.orbital_radius""></pl-input-field>
<pl-input-field label=""Orbital velocity (m/s)"" placeholder=""Enter orbital velocity"" variable-name=""params.orbital_velocity""></pl-input-field>
<pl-input-field label=""Radius of the Moon (m)"" placeholder=""Enter radius of the Moon"" variable-name=""params.moon_radius""></pl-input-field>
<pl-input-field label=""Rotational period (s)"" placeholder=""Enter rotational period"" variable-name=""params.rotational_period""></pl-input-field>
</pl-input-panel>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AngularMomentumOfTheMoon\question.html
9,pl-input-field,"<pl-input-field label=""Mass of the Moon (kg)"" placeholder=""Enter mass of the Moon"" variable-name=""params.moon_mass""></pl-input-field>",C:\Users\lberm\OneDrive\Desktop\GitHub_Repository\mechedu\website\quizzes\01_physics1\AngularMomentumOfTheMoon\question.html
